Date,rBH,rM_ex,rSmB,rHmL,rf
2007-12-31,0.010706638115631772,-0.0087,0.0013,-0.0055000000000000005,0.0027
2008-01-31,-0.039548022598870025,-0.0636,-0.0103,0.0397,0.0021
2008-02-29,0.02941176470588225,-0.030899999999999997,-0.0043,-0.0084,0.0013
2008-03-31,-0.04714285714285715,-0.009300000000000001,0.0070999999999999995,0.003,0.0017000000000000001
2008-04-30,0.0033733133433282436,0.046,-0.0172,-0.009399999999999999,0.0018
2008-05-30,0.005976839745984286,0.018600000000000002,0.0296,-0.0143,0.0018
2008-06-30,-0.10323059784626809,-0.08439999999999999,0.0123,-0.0271,0.0017000000000000001
2008-07-31,-0.05217391304347829,-0.0077,0.026099999999999998,0.0542,0.0015
2008-08-29,0.018785495849716005,0.015300000000000001,0.036000000000000004,0.0159,0.0013
2008-09-30,0.12006861063464846,-0.0924,-0.0123,0.0591,0.0015
2008-10-31,-0.11569678407350692,-0.1723,-0.026000000000000002,-0.023,8e-4
2008-11-28,-0.09948913325829079,-0.0786,-0.0285,-0.06309999999999999,3e-4
2008-12-31,-0.07115384615384612,0.0174,0.0346,0.0014000000000000002,0
2009-01-30,-0.07347826086956522,-0.0812,7.000000000000001e-4,-0.11289999999999999,0
2009-02-27,-0.12180733391432597,-0.10099999999999999,5e-4,-0.0695,1e-4
2009-03-31,0.10305343511450382,0.0895,3e-4,0.0347,2e-4
2009-04-30,0.08419838523644763,0.1018,0.054000000000000006,0.0536,1e-4
2009-05-29,-0.025531914893617058,0.0521,-0.0252,0.0028000000000000004,0
2009-06-30,-0.017467248908296984,0.0043,0.0263,-0.0273,1e-4
2009-07-31,0.07777777777777772,0.07719999999999999,0.0187,0.0483,1e-4
2009-08-31,0.03969072164948462,0.0333,-0.0108,0.07629999999999999,1e-4
2009-09-30,0.0014873574615765772,0.0408,0.024300000000000002,0.0105,1e-4
2009-10-30,-0.01980198019801982,-0.0259,-0.0435,-0.0421,0
2009-11-30,0.016161616161616266,0.0556,-0.024,-0.0034000000000000002,0
2009-12-31,-0.013916500994035741,0.0275,0.0605,-0.0017000000000000001,1e-4
2010-01-29,0.155241935483871,-0.0336,0.004,0.0043,0
2010-02-26,0.04537521815008727,0.034,0.011899999999999999,0.0323,0
2010-03-31,0.016694490818029983,0.06309999999999999,0.0148,0.022099999999999998,1e-4
2010-04-30,-0.053160919540229834,0.02,0.0487,0.028900000000000002,1e-4
2010-05-28,-0.08163884673748101,-0.0789,9e-4,-0.024399999999999998,1e-4
2010-06-30,0.1330374846567841,-0.0557,-0.0182,-0.047,1e-4
2010-07-30,-0.025000000000000022,0.0693,0.002,-0.0031,1e-4
2010-08-31,0.014316239316239265,-0.04769999999999999,-0.03,-0.019,1e-4
2010-09-30,0.049083631767432134,0.09539999999999998,0.039599999999999996,-0.0316,1e-4
2010-10-29,-0.0417670682730924,0.0388,0.011399999999999999,-0.024300000000000002,1e-4
2010-11-30,0.007544006705783701,0.006,0.0377,-0.0096,1e-4
2010-12-31,0.002079866888519133,0.0682,0.0073,0.037000000000000005,1e-4
2011-01-31,0.016396845163968443,0.0199,-0.025,0.0083,1e-4
2011-02-28,0.07249336328364309,0.0349,0.015300000000000001,0.0127,1e-4
2011-03-31,-0.045696877380045686,0.0046,0.0254,-0.0183,1e-4
2011-04-29,-0.004389465283320071,0.028999999999999998,-0.0038,-0.024300000000000002,0
2011-05-31,-0.04789579158316637,-0.0127,-0.0059,-0.0212,0
2011-06-30,-0.02247947800463057,-0.0175,-0.0012,-0.0042,0
2011-07-29,-0.039662374574738424,-0.0235,-0.0126,-0.009000000000000001,0
2011-08-31,-0.015524663677130013,-0.0599,-0.0305,-0.0236,1e-4
2011-09-30,-0.027047709280397902,-0.0759,-0.0331,-0.0172,0
2011-10-31,0.09503745318352053,0.11349999999999999,0.032799999999999996,0.001,0
2011-11-30,0.013253527148354038,-0.0028000000000000004,-0.0016,-0.0046,0
2011-12-30,-0.0316033755274262,0.0074,-0.0059,0.0163,0
2012-01-31,0.027624068668031798,0.050499999999999996,0.0204,-0.0097,0
2012-02-29,7.631969472132738e-5,0.044199999999999996,-0.018500000000000003,0.0043,0
2012-03-30,0.033628978920413166,0.0311,-0.0064,0.011399999999999999,0
2012-04-30,-0.009023789991796538,-0.0085,-0.0042,-0.0078000000000000005,0
2012-05-31,-0.01614238410596025,-0.061900000000000004,7.000000000000001e-4,-0.010700000000000001,1e-4
2012-06-29,0.051283129995792986,0.038900000000000004,0.0067,0.0062,0
2012-07-31,0.020008803873704517,0.0079,-0.0274,-2e-4,0
2012-08-31,-0.0069441719957629156,0.0255,0.004699999999999999,0.013000000000000001,1e-4
2012-09-28,0.0485145385587864,0.0273,0.005,0.016,1e-4
2012-10-31,-0.024076865109268986,-0.0176,-0.0115,0.0359,1e-4
2012-11-30,0.018617041813057345,0.0078000000000000005,0.0063,-0.0084,1e-4
2012-12-31,0.016252766912277616,0.0118,0.0148,0.0351,1e-4
2013-01-31,0.08813217962106523,0.0557,0.0033,0.0096,0
2013-02-28,0.04610111396743788,0.0129,-0.0027,0.0011,0
2013-03-28,0.024115334207077233,0.0403,0.008100000000000001,-0.0019,0
2013-04-30,0.017404658305605336,0.0155,-0.023700000000000002,0.0045000000000000005,0
2013-05-31,0.07735849056603783,0.027999999999999997,0.017,0.0263,0
2013-06-28,-0.015761821366024553,-0.012,0.013300000000000001,3e-4,0
2013-07-31,0.031435349940688084,0.0565,0.0187,0.005699999999999999,0
2013-08-30,-0.039390454284071286,-0.0271,0.0027,-0.0269,0
2013-09-30,0.020113738401676073,0.0377,0.0288,-0.012199999999999999,0
2013-10-31,0.015163429376210402,0.0418,-0.015300000000000001,0.0125,0
2013-11-29,0.01015064106269592,0.0313,0.0129,0.0032,0
2013-12-31,0.018025751072961338,0.0281,-0.0046,-2e-4,0
2014-01-31,-0.04715570545250136,-0.0332,0.0089,-0.0207,0
2014-02-28,0.024759455138604558,0.04650000000000001,0.0034999999999999996,-0.0031,0
2014-03-31,0.0785340916941073,0.0043,-0.0181,0.0493,0
2014-04-30,0.031625300240192056,-0.0019,-0.04190000000000001,0.011699999999999999,0
2014-05-30,-0.006596818005432659,0.0206,-0.018799999999999997,-0.0013,0
2014-06-30,-0.010937500000000044,0.026099999999999998,0.030899999999999997,-0.006999999999999999,0
2014-07-31,-0.009352290679304875,-0.0204,-0.0429,3e-4,0
2014-08-29,0.09438455486806574,0.0424,0.004,-0.0045000000000000005,0
2014-09-30,0.004954342335340867,-0.0197,-0.0371,-0.0134,0
2014-10-31,0.014983083615273118,0.0252,0.0421,-0.0181,0
2014-11-28,0.06221428571428578,0.0255,-0.0206,-0.030899999999999997,0
2014-12-31,0.013157599802747999,-6e-4,0.024900000000000002,0.0227,0
2015-01-30,-0.04484513274336288,-0.0311,-0.005600000000000001,-0.0358,0
2015-02-27,0.024621870150325353,0.0613,0.0063,-0.018600000000000002,0
2015-03-31,-0.01663803237182382,-0.011200000000000002,0.0304,-0.0037,0
2015-04-30,-0.01885057471264373,0.0059,-0.030600000000000002,0.0182,0
2015-05-29,0.006560449859418949,0.013600000000000001,0.009300000000000001,-0.011399999999999999,0
2015-06-30,-0.04632216014897583,-0.015300000000000001,0.0291,-0.0079,0
2015-07-31,0.044666829387356666,0.0154,-0.0417,-0.041299999999999996,0
2015-08-31,-0.05359345794392523,-0.0604,0.0033,0.0277,0
2015-09-30,-0.0359994272481744,-0.030699999999999998,-0.0262,0.005600000000000001,0
2015-10-30,0.04792050809260395,0.0775,-0.018799999999999997,-0.0046,0
2015-11-30,-0.015816536002658865,0.005600000000000001,0.036000000000000004,-0.0042,0
2015-12-31,-0.017679777512912165,-0.0217,-0.028399999999999998,-0.026099999999999998,1e-4
2016-01-29,-0.017391304347826098,-0.057699999999999994,-0.0342,0.0209,1e-4
2016-02-29,0.04216402551965426,-7.000000000000001e-4,0.0073,-0.005699999999999999,2e-4
2016-03-31,0.053787860087383565,0.0696,0.008199999999999999,0.011899999999999999,2e-4
2016-04-29,0.026001405481377304,0.0091,0.0076,0.032799999999999996,1e-4
2016-05-31,-0.03335616438356159,0.0178,-0.0017000000000000001,-0.0166,1e-4
2016-06-30,0.02494154325798914,-5e-4,0.0060999999999999995,-0.0148,2e-4
2016-07-29,-0.004493605254061506,0.0395,0.024900000000000002,-0.0132,2e-4
2016-08-31,0.04518518518518522,0.0049,0.0115,0.0318,2e-4
2016-09-30,-0.04225726435152377,0.0025,0.0212,-0.0124,2e-4
2016-10-31,-0.002404957913236472,-0.0202,-0.044000000000000004,0.0409,2e-4
2016-11-30,0.09874826147426985,0.048600000000000004,0.0571,0.0821,1e-4
2016-12-30,0.03004641350210968,0.0181,0.001,0.0353,3e-4
2017-01-31,0.007615076130279563,0.0194,-0.011899999999999999,-0.0275,4e-4
2017-02-28,0.0452069273924709,0.035699999999999996,-0.020499999999999997,-0.0167,4e-4
2017-03-31,-0.028199144301828127,0.0017000000000000001,0.011399999999999999,-0.0335,3e-4
2017-04-28,-0.008284970982589512,0.0109,0.0073,-0.0213,5e-4
2017-05-31,0.0026636532407782187,0.0106,-0.025699999999999997,-0.0378,6e-4
2017-06-30,0.025197230719690822,0.0078000000000000005,0.0225,0.0148,6e-4
2017-07-31,0.031747153513937976,0.0187,-0.0151,-0.0031,7.000000000000001e-4
2017-08-31,0.03296979291134239,0.0016,-0.0167,-0.0209,9e-4
2017-09-29,0.012120095781911866,0.025099999999999997,0.0447,0.031400000000000004,9e-4
2017-10-31,0.020856082113998697,0.0225,-0.0194,0.002,9e-4
2017-11-30,0.039326844225763935,0.031200000000000002,-0.0055000000000000005,-3e-4,8e-4
2017-12-29,0.020926243567753078,0.0106,-0.0132,6e-4,9e-4
2018-01-31,0.08660954301075274,0.0557,-0.0313,-0.0129,0.0012
2018-02-28,-0.04058755315036722,-0.0365,0.0025,-0.0104,0.0011
2018-03-29,-0.03593875906527,-0.0235,0.0406,-0.0021,0.0011
2018-04-30,-0.028251420929454985,0.0028000000000000004,0.0113,0.0054,0.0014000000000000002
2018-05-31,-0.011869946671254072,0.0265,0.0525,-0.032,0.0014000000000000002
2018-06-29,-0.017966573816155962,0.0048,0.011399999999999999,-0.023399999999999997,0.0014000000000000002
2018-07-31,0.06917458516522479,0.0319,-0.0222,0.004699999999999999,0.0016
2018-08-31,0.04725584480185696,0.0344,0.011399999999999999,-0.0394,0.0016
2018-09-28,0.013299556681444002,6e-4,-0.0227,-0.017,0.0015
2018-10-31,-0.03842187500000005,-0.0768,-0.0478,0.034,0.0019
2018-11-30,0.059456297427731064,0.0169,-0.0068000000000000005,0.003,0.0018
2018-12-31,-0.06134969325153372,-0.09570000000000001,-0.023799999999999998,-0.0184,0.002
2019-01-31,0.017973856209150263,0.084,0.028999999999999998,-0.0046,0.0021
2019-02-28,-0.02985553772070626,0.034,0.020499999999999997,-0.026699999999999998,0.0018
2019-03-29,-0.0032594308405029526,0.011000000000000001,-0.0305,-0.0417,0.0019
2019-04-30,0.07922912205567445,0.0397,-0.0174,0.0215,0.0021
2019-05-31,-0.08619416758951648,-0.0694,-0.0132,-0.023700000000000002,0.0021
2019-06-28,0.07166902309297796,0.0693,0.0029,-0.0070999999999999995,0.0018
2019-07-31,-0.030419349772263238,0.011899999999999999,-0.019299999999999998,0.0048,0.0019
2019-08-30,-0.018103710807150786,-0.0258,-0.023799999999999998,-0.0478,0.0016
2019-09-30,0.028883653712905577,0.0143,-0.0096,0.0675,0.0018
2019-10-31,0.02279111829446623,0.0206,0.0029,-0.0191,0.0016
2019-11-29,0.03623263382653108,0.0387,0.0077,-0.0202,0.0012
2019-12-31,0.027519327070001154,0.0277,0.0073,0.0175,0.0014000000000000002
2020-01-31,-0.010583350510910194,-0.0011,-0.0311,-0.0625,0.0013
2020-02-28,-0.08006047691043938,-0.08130000000000001,0.010700000000000001,-0.0381,0.0012
2020-03-31,-0.12001449387892438,-0.13390000000000002,-0.0483,-0.1387,0.0013
2020-04-30,0.03566176470588234,0.1365,0.0245,-0.013300000000000001,0
2020-05-29,-0.010862619808306717,0.0558,0.024700000000000003,-0.048799999999999996,1e-4
2020-06-30,-0.04069767441860461,0.0246,0.0269,-0.022000000000000002,1e-4
2020-07-31,0.09850729517396184,0.057699999999999994,-0.0233,-0.0141,1e-4
2020-08-31,0.11554978868035048,0.07629999999999999,-0.0022,-0.0297,1e-4
2020-09-30,-0.023076688240322385,-0.0363,2e-4,-0.0271,1e-4
2020-10-30,-0.054690454092330976,-0.021,0.0438,0.0425,1e-4
2020-11-30,0.13615867768595047,0.1247,0.057999999999999996,0.0209,1e-4
2020-12-31,0.012007983985475201,0.0463,0.0489,-0.0151,1e-4
2021-01-29,-0.010680965455773905,-3e-4,0.0736,0.0301,1e-4
2021-02-26,0.05951758209822722,0.0278,0.020499999999999997,0.07150000000000001,0
2021-03-31,0.057935158264304176,0.0308,-0.023700000000000002,0.0739,0
2021-04-30,0.06947850931548194,0.0493,-0.0319,-0.0095,0
2021-05-28,0.05696969696969689,0.0029,-0.0025,0.0709,0
2021-06-30,-0.03990596330275231,0.0275,0.0168,-0.0787,0
2021-07-30,7.142840079217283e-4,0.0127,-0.0397,-0.0178,0
2021-08-31,0.026259250417760782,0.0291,-0.0042,-0.0015,0
2021-09-30,-0.043082112119097515,-0.0437,0.0070999999999999995,0.0508,0
2021-10-29,0.05231915095325723,0.0665,-0.0235,-0.0049,0
2021-11-30,-0.03701992598786796,-0.0155,-0.0132,-0.0045000000000000005,0
2021-12-31,0.08104568264903711,0.031,-0.0167,0.0326,1e-4
2022-01-31,0.04247751086179896,-0.0625,-0.0594,0.1275,0
2022-02-28,0.013622673236768357,-0.0229,0.0219,0.0308,0
2022-03-31,0.11070022364317889,0.0305,-0.0161,-0.0181,1e-4
2022-04-29,-0.08428668931655203,-0.0946,-0.0139,0.0617,1e-4
2022-05-31,-0.021245406119667964,-0.0034000000000000002,-0.0183,0.0839,3e-4
2022-06-30,-0.1373272861512499,-0.0843,0.021,-0.059699999999999996,6e-4
2022-07-29,0.10453600684680286,0.09570000000000001,0.0281,-0.0405,8e-4
2022-08-31,-0.06728359530661943,-0.0377,0.013999999999999999,0.0029,0.0019
2022-09-30,-0.03521888974337062,-0.0935,-0.008100000000000001,5e-4,0.0019
2022-10-31,0.09491475385637327,0.0783,6e-4,0.0801,0.0023
2022-11-30,0.07915964498370975,0.046,-0.0352,0.0138,0.0029
2022-12-30,-0.024088031981344238,-0.0641,-0.0069,0.0137,0.0033
2023-01-31,0.009150627998916194,0.0665,0.0501,-0.0401,0.0034999999999999996
2023-02-28,-0.020031712473572938,-0.0258,0.011699999999999999,-0.008100000000000001,0.0034000000000000002
2023-03-31,0.004476565449544223,0.025099999999999997,-0.055099999999999996,-0.0885,0.0036
2023-04-28,0.08006872852233671,0.0060999999999999995,-0.0335,-4e-4,0.0034999999999999996
2023-05-31,-0.029541839007317883,0.0034999999999999996,0.0161,-0.07719999999999999,0.0036
2023-06-30,0.06103388357949613,0.0646,0.0154,-0.0026,0.004
2023-07-31,0.03396998899210124,0.0321,0.0207,0.041299999999999996,0.0045000000000000005
